"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"金枪鱼延绳钓","2183-10-04 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","750.00","威海市恒源渔业有限公司","345.00",,"中国","鲁乳远渔188"
"延绳钓","0172-08-05 00:00:00.0","荣成市远洋渔业有限公司","印度洋","480","荣成市远洋渔业有限公司","255",,"中国","鸿洋 89"
"延绳钓","2189-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔207"
"鱿鱼钓","0176-08-11 00:00:00.0","荣成市泓顺水产有限公司","北太平洋、东南太平洋公海","960.00","荣成市泓顺水产有限公司","440.00",,"中国","鲁荣远渔999"
"运输","2183-03-01 00:00:00.0","荣成市赤山远洋渔业有限公司","太平洋、印度洋、大西洋","3000","荣成市赤山远洋渔业有限公司","4600",,"中国","鲁荣远渔运008"
"围网","0170-03-09 00:00:00.0","山东海裕远洋渔业有限公司","印度洋公海","1155","山东海裕远洋渔业有限公司","899",,"中国","鲁荣远渔313"
"围网","2187-12-01 00:00:00.0","荣成市远洋渔业有限公司","加纳","1470","荣成市远洋渔业有限公司","617",,"中国","鲁荣远渔222"
"秋刀鱼捕捞船","2186-10-11 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1577",,"中国","鲁文远渔177"
"拖网","2187-09-03 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔501"
"延绳钓","2178-09-04 00:00:00.0","荣成市远洋渔业有限公司","印度洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔202"
"鱿鱼钓","2191-11-09 00:00:00.0","荣成市泓顺水产有限公司","西南大西洋、太平洋公海","1760.00","荣成市泓顺水产有限公司","1806.00",,"中国","鲁荣远渔939"
"拖网","2187-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔986"
"鱿钓","2191-08-08 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","1760.00","荣成鑫润水产有限公司","1491.00",,"中国","鲁荣远渔779"
"灯光围网","0175-11-04 00:00:00.0","荣成市永进水产有限公司","印度洋公海","1470.00","荣成市永进水产有限公司","720.00",,"中国","鲁荣远渔868"
"围网","2183-04-05 00:00:00.0","荣成市连海渔业有限公司","印度洋","1197.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔235"
"灯光围网","2189-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔120"
"鱿鱼钓","2197-01-09 00:00:00.0","荣成华东渔业有限公司","西南大西洋","1760.00","荣成华东渔业有限公司","1478.00",,"中国","鲁荣远渔775"
"延绳钓","2182-08-12 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","268",,"中国","鲁荣远渔799"
"金枪鱼延绳钓","0169-09-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","255.00",,"中国","鲁荣远渔326"
"金枪鱼延绳钓","2188-10-04 00:00:00.0","荣成市远洋渔业有限公司","中西部太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔316"
"鱿钓","0174-01-04 00:00:00.0","荣成市赤山远洋渔业有限公司","北太平洋和东南太平洋","1540","荣成市赤山远洋渔业有限公司","1087",,"中国","鲁荣远渔738"
"鱿鱼钓","0172-04-12 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔836"
"金枪鱼延绳钓","2189-08-05 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","1000","威海市恒源渔业有限公司","321",,"中国","鲁荣远渔169"
"围网","2192-03-07 00:00:00.0","山东海裕远洋渔业有限公司","印度洋公海","1155","山东海裕远洋渔业有限公司","899",,"中国","鲁荣远渔302"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔320"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔875"
"围网","2186-03-11 00:00:00.0","荣成市海洋渔业有限公司","太平洋和印度洋公海","1500.00","荣成市海洋渔业有限公司","1110.00",,"中国","鲁荣远渔892"
"金枪鱼延绳钓","2198-12-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔298"
"拖网","2187-09-03 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔502"
"金枪鱼延绳钓","2192-08-05 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","698","威海昌和渔业有限公司","336",,"中国","荣大洋28"
"鱿鱼钓","2199-04-07 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔832"
"鱿钓","2186-01-09 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋","1800","荣成市赤山远洋渔业有限公司","1500",,"中国","鲁荣远渔708"
"鱿钓","2179-02-09 00:00:00.0","荣成市赤山远洋渔业有限公司","北太平洋","1800","荣成市赤山远洋渔业有限公司","1478",,"中国","鲁荣远渔702"
"延绳钓","2193-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","255",,"中国","鲁荣远渔889"
